mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,sflux_n,posflux_n,negflux_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,sflux_s,posflux_s,negflux_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2204,1976,1,13,17,26,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.70169,-5.31843,2.47E+22,-6.85E+21,8.94E+21,-1.58E+22,68154,1.20E+21,8.56E+18,119.885,259.908,0
2205,1976,1,14,16,54,18,1.20271,4.35775,1.09E+22,1.76E+21,6.33E+21,-4.56E+21,21059,4.41E+20,5.01E+18,67.3425,214.172,0,-1.85348,-5.78936,2.05E+22,-6.23E+21,7.13E+21,-1.34E+22,61765,1.03E+21,4.92E+18,36.0831,185.573,0
2206,1976,1,15,17,4,59,2083.18,2.25363,7.83E+21,1.72E+21,4.78E+21,-3.05E+21,43090,2.73E+20,8.15E+18,3346.08,401.162,0,1027.69,-5.12767,2.17E+22,-6.39E+21,7.67E+21,-1.41E+22,85804,8.21E+20,8.05E+18,3344.44,391.222,0
2207,1976,1,16,16,20,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.55131,-4.6033,2.70E+22,-5.23E+21,1.09E+22,-1.61E+22,71032,1.26E+21,1.17E+19,90.5131,241.489,0
2208,1976,1,17,17,3,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.91806,-5.16391,2.32E+22,-5.77E+21,8.73E+21,-1.45E+22,69955,1.19E+21,4.75E+18,62.2949,143.483,0
2215,1976,1,24,17,20,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2216,1976,1,25,16,43,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2217,1976,1,26,20,58,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.7541,-4.61976,1.97E+22,-5.18E+21,7.24E+21,-1.24E+22,74634,1.21E+21,6.54E+18,113.166,230.81,0
2218,1976,1,27,17,7,20,0.976231,3.835,1.86E+22,2.38E+21,1.05E+22,-8.09E+21,24836,7.09E+20,2.39E+19,62.3335,318.634,0,-2.4193,-8.22326,3.37E+22,-1.34E+22,1.01E+22,-2.36E+22,76795,1.50E+21,3.39E+19,107.566,362.356,0
2219,1976,1,28,17,34,44,0.907046,4.49919,7.51E+21,1.63E+21,4.57E+21,-2.94E+21,16796,3.53E+20,6.14E+18,62.7556,264.236,0,-2.70384,-6.96574,2.27E+22,-7.94E+21,7.38E+21,-1.53E+22,70748,1.10E+21,7.58E+18,146.048,300.75,0
2220,1976,1,29,17,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.07996,-5.0761,2.39E+22,-6.07E+21,8.94E+21,-1.50E+22,72793,1.15E+21,8.11E+18,166.825,297.97,0
2221,1976,1,30,17,45,43,1.32058,5.05528,4.24E+21,1.02E+21,2.63E+21,-1.61E+21,10176,1.95E+20,9.71E+18,58.9522,226.392,0,-1.69665,-4.51616,1.48E+22,-3.89E+21,5.47E+21,-9.36E+21,61679,9.09E+20,5.06E+18,75.1311,272.777,0
2222,1976,1,31,17,52,5,1.20564,4.2504,5.55E+21,1.25E+21,3.40E+21,-2.15E+21,14844,3.13E+20,4.63E+18,90.2651,194.727,0,-2.17956,-5.98151,1.88E+22,-6.20E+21,6.30E+21,-1.25E+22,68904,1.08E+21,8.93E+18,82.9316,380.376,0
2223,1976,2,1,17,2,19,1.36753,6.03226,8.15E+21,2.10E+21,5.12E+21,-3.02E+21,16817,3.63E+20,5.68E+18,140.634,346.132,0,-1.74411,-4.09957,2.49E+22,-4.24E+21,1.03E+22,-1.46E+22,72993,1.16E+21,7.35E+18,121.471,224.872,0
2224,1976,2,2,18,50,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.22195,-6.18057,2.15E+22,-7.39E+21,7.06E+21,-1.44E+22,78365,1.27E+21,7.09E+18,74.1842,225.482,0
2235,1976,2,13,21,59,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.69336,-4.45391,1.97E+22,-4.78E+21,7.45E+21,-1.22E+22,74043,1.08E+21,4.88E+18,157.452,210.289,0
2236,1976,2,14,20,55,59,0.741915,2.38674,4.35E+21,5.72E+20,2.46E+21,-1.89E+21,12304,2.39E+20,3.88E+18,81.822,161.105,0,-1.70562,-4.81138,1.96E+22,-5.18E+21,7.23E+21,-1.24E+22,73823,1.10E+21,4.66E+18,87.789,191.696,0
2237,1976,2,15,18,19,8,0.731683,3.01269,4.94E+21,6.75E+20,2.81E+21,-2.13E+21,10392,2.19E+20,5.35E+18,37.4076,148.871,0,-2.25606,-6.52613,1.94E+22,-7.33E+21,6.02E+21,-1.33E+22,70598,1.07E+21,4.57E+18,33.2618,149.482,0
2238,1976,2,16,20,5,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-1.83963,-4.37276,3.45E+22,-5.57E+21,1.44E+22,-2.00E+22,85458,1.46E+21,1.65E+19,277.811,471.638,0
2239,1976,2,17,18,24,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.25954,-6.149,2.47E+22,-7.66E+21,8.50E+21,-1.62E+22,81327,1.28E+21,8.08E+18,166.219,243.933,0
2240,1976,2,18,17,33,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.34431,-7.20007,3.35E+22,-1.09E+22,1.13E+22,-2.22E+22,84081,1.42E+21,1.93E+19,125.471,408.847,0
2241,1976,2,19,15,31,32,0.74789,3.32347,1.16E+22,1.22E+21,6.42E+21,-5.20E+21,15552,3.86E+20,7.05E+18,39.3085,214.404,0,-3.67576,-11.5821,3.07E+22,-1.67E+22,7.05E+21,-2.37E+22,78104,1.32E+21,9.19E+18,35.3283,225.682,0
2242,1976,2,20,18,43,18,2.51214,9.29651,2.77E+21,1.09E+21,1.93E+21,-8.41E+20,6086,1.19E+20,2.71E+18,38.3414,141.482,0,-1.92139,-5.03265,1.39E+22,-4.66E+21,4.62E+21,-9.28E+21,65715,9.47E+20,5.59E+18,68.9284,272.47,0
2243,1976,2,21,21,19,38,2.15202,6.59113,5.87E+21,2.15E+21,4.01E+21,-1.86E+21,14707,3.04E+20,4.06E+18,223.713,227.377,0,-2.68214,-6.68088,2.21E+22,-8.01E+21,7.04E+21,-1.50E+22,78747,1.22E+21,1.17E+19,142.333,225.283,0
2244,1976,2,22,17,21,27,1.01149,3.60937,3.23E+21,4.34E+20,1.83E+21,-1.40E+21,6566,1.29E+20,4.14E+18,50.5597,201.677,0,-2.43901,-6.87706,1.73E+22,-7.08E+21,5.12E+21,-1.22E+22,67701,9.73E+20,4.93E+18,70.802,155.936,0
2245,1976,2,23,20,14,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.86477,-8.02766,3.21E+22,-1.25E+22,9.80E+21,-2.23E+22,86182,1.44E+21,1.01E+19,75.0701,334.029,0
2247,1976,2,25,17,11,12,1.28007,4.42441,6.19E+21,1.28E+21,3.73E+21,-2.45E+21,13208,3.06E+20,9.34E+18,74.5883,366.125,0,-2.20738,-6.22067,2.11E+22,-7.66E+21,6.70E+21,-1.44E+22,77540,1.24E+21,8.94E+18,64.1972,210.395,0
2248,1976,2,26,16,56,9,1.86442,7.03834,2.17E+21,7.71E+20,1.47E+21,-6.99E+20,5597,1.09E+20,5.19E+18,61.8704,249.48,0,-2.13789,-5.54121,1.55E+22,-5.16E+21,5.15E+21,-1.03E+22,66676,9.50E+20,3.75E+18,45.2659,175.772,0
2249,1976,2,27,18,12,47,2.15429,1.84565,1.60E+22,1.08E+21,8.52E+21,-7.44E+21,25584,5.91E+20,1.39E+19,142.714,299.67,0,-3.33692,-10.3191,3.45E+22,-1.82E+22,8.19E+21,-2.64E+22,89206,1.58E+21,1.03E+19,88.2328,206.962,0
2250,1976,2,28,18,6,50,1.7669,5.74284,1.56E+22,3.66E+21,9.64E+21,-5.98E+21,20002,6.09E+20,1.79E+19,73.5502,376.824,0,-1.99738,-6.14776,3.13E+22,-1.01E+22,1.06E+22,-2.07E+22,86429,1.65E+21,1.09E+19,74.3696,300.768,0
2251,1976,2,29,15,59,5,1.52077,5.64741,8.31E+21,2.07E+21,5.19E+21,-3.12E+21,15474,3.88E+20,8.16E+18,54.632,256.991,0,-2.08929,-5.56422,2.48E+22,-7.10E+21,8.85E+21,-1.60E+22,81272,1.37E+21,1.09E+19,76.8456,328.288,0
2256,1976,3,5,18,46,18,1.45073,5.5462,4.16E+21,6.84E+20,2.42E+21,-1.74E+21,6193,1.23E+20,8.93E+18,49.9452,204.149,0,-3.53194,-9.47503,2.20E+22,-9.42E+21,6.30E+21,-1.57E+22,68238,9.87E+20,7.42E+18,95.6731,306.178,0
