mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,unsfluxc_n,sflux_n,sfluxc_n,posfluxc_n,negfluxc_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,unsfluxc_s,sflux_s,sfluxc_s,posfluxc_s,negfluxc_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
842,1992,4,21,17,0,37,1.3785,1.3785,4.02E+21,1.89E+21,7.65E+20,6.55E+20,1.27E+21,-6.19E+20,19208,6.93E+20,3.96E+18,60.8587,60.8587,0,-0.53514,-0.53514,6.21E+21,8.24E+21,-3.78E+20,-1.45E+21,3.39E+21,-4.85E+21,52947,1.39E+21,3.19E+18,35.1623,35.1623,0
843,1992,4,22,17,29,34,0.791823,0.791823,3.83E+21,1.76E+21,5.43E+20,3.67E+20,1.06E+21,-6.95E+20,21159,9.09E+20,2.40E+18,43.1802,43.1802,0,-0.727147,-0.727147,6.43E+21,8.05E+21,-6.99E+20,-1.83E+21,3.11E+21,-4.94E+21,54335,1.60E+21,4.47E+18,33.1729,33.1729,0
845,1992,4,24,14,30,28,1.59928,1.59928,6.60E+21,3.73E+21,1.13E+21,1.57E+21,2.65E+21,-1.08E+21,21860,9.60E+20,7.04E+18,95.7744,95.7744,0,-1.12527,-1.12527,8.31E+21,1.05E+22,-1.12E+21,-2.71E+21,3.87E+21,-6.58E+21,53866,1.63E+21,6.70E+18,54.172,54.172,0
846,1992,4,25,15,40,28,1.38536,1.38536,5.53E+21,3.16E+21,9.12E+20,1.34E+21,2.25E+21,-9.13E+20,21608,8.83E+20,4.43E+18,62.1112,62.1112,0,-0.872163,-0.872163,8.04E+21,9.94E+21,-4.83E+20,-2.25E+21,3.85E+21,-6.10E+21,52882,1.53E+21,4.78E+18,30.6743,30.6743,0
847,1992,4,26,14,24,47,1.64923,1.64923,6.12E+21,3.66E+21,1.29E+21,1.50E+21,2.58E+21,-1.08E+21,22572,1.01E+21,6.16E+18,68.1582,68.1582,0,-1.06176,-1.06176,7.98E+21,1.01E+22,-8.74E+20,-2.96E+21,3.57E+21,-6.53E+21,53239,1.65E+21,5.10E+18,90.9442,90.9442,0
848,1992,4,27,15,51,16,1.24439,1.24439,5.06E+21,2.77E+21,8.89E+20,7.60E+20,1.77E+21,-1.01E+21,21847,8.55E+20,3.67E+18,43.9291,43.9291,0,-1.05535,-1.05535,7.63E+21,9.53E+21,-7.23E+20,-2.65E+21,3.44E+21,-6.09E+21,51843,1.48E+21,2.91E+18,33.9901,33.9901,0
849,1992,4,28,14,33,21,1.19408,1.19408,4.44E+21,2.41E+21,7.49E+20,9.05E+20,1.66E+21,-7.51E+20,21664,8.11E+20,3.91E+18,47.328,47.328,0,-1.36867,-1.36867,6.16E+21,8.62E+21,-1.13E+21,-3.35E+21,2.64E+21,-5.98E+21,51035,1.42E+21,4.10E+18,26.4595,26.4595,0
850,1992,4,29,14,58,1,1.13523,1.13523,4.25E+21,2.64E+21,8.39E+20,9.62E+20,1.80E+21,-8.41E+20,22321,8.68E+20,3.99E+18,51.7532,51.7532,0,-1.35426,-1.35426,6.61E+21,9.04E+21,-1.12E+21,-3.28E+21,2.88E+21,-6.16E+21,51031,1.47E+21,4.19E+18,31.3116,31.3116,0
851,1992,4,30,14,28,21,1.30817,1.30817,6.90E+21,4.78E+21,1.66E+21,8.26E+20,2.80E+21,-1.97E+21,26059,1.11E+21,5.63E+18,79.046,79.046,0,-1.39291,-1.39291,1.08E+22,1.44E+22,-1.32E+21,-3.90E+21,5.22E+21,-9.13E+21,53933,1.70E+21,6.88E+18,65.8801,65.8801,0
854,1992,5,3,14,35,59,1.28688,1.28688,6.62E+21,4.65E+21,1.27E+21,1.29E+21,2.97E+21,-1.68E+21,26552,1.13E+21,4.43E+18,60.0394,60.0394,0,-1.13062,-1.13062,8.63E+21,1.12E+22,-1.25E+21,-2.60E+21,4.28E+21,-6.89E+21,52304,1.68E+21,5.21E+18,31.6655,31.6655,0
857,1992,5,6,15,44,35,1.23007,1.23007,5.94E+21,4.28E+21,8.84E+20,1.40E+21,2.84E+21,-1.44E+21,25032,1.06E+21,6.04E+18,64.5299,64.5299,0,-1.05068,-1.05068,7.39E+21,8.77E+21,-1.21E+21,-1.98E+21,3.39E+21,-5.38E+21,48685,1.57E+21,4.00E+18,31.8277,31.8277,0
858,1992,5,7,14,32,39,1.9618,1.9618,7.97E+21,5.70E+21,1.68E+21,2.07E+21,3.88E+21,-1.81E+21,26349,1.15E+21,8.96E+18,163.836,163.836,0,-1.20548,-1.20548,9.19E+21,1.17E+22,-1.47E+21,-2.47E+21,4.59E+21,-7.06E+21,49324,1.64E+21,8.43E+18,95.9228,95.9228,0
